Sample Locations,Natural/Field Moisture Content (%),Specific Gravity Test,D10 (mm),D30 (mm),D60 (mm),Cu,Cc,L.L %,P.L %,P.I %,OMC (%),MDD (g/cm3),"Cohesion, C (kN/m2)","Frictional Angle, Ø(0)",Depth (m),California Bearing Ratio,Shear Strength (kN/m2),Allow. Bearing Pressure (kN/m2),Classification
SYN_1644,3.2743017415720983,2.4567686272910096,0.13,0.4165219594874432,0.85,6.538461538461538,1.5700501605000838,15.82,12.370000000000001,3.4499999999999993,4.720621625981714,2.204538822490957,52.68797255840427,21.453412171180354,1.5385404168693138,75.17778901498525,440.5271824382663,225.24012219271137,Well-graded sand (SW)
SYN_531,2.5580848745962337,2.771615887281419,0.1830106333432913,0.3,3.380486177348918,18.471528760887917,0.2,23.52038782672449,17.856705879483307,5.663681947241184,8.83,2.1306842254729936,89.97707068684039,28.596276682538736,3.3,51.948132486894416,411.49306706483185,206.69463463338232,Poorly graded sand (SP)
SYN_126,5.8,2.501339911740898,0.1877577693695998,0.3,0.9457486289844212,5.037067878254998,0.5068376539752126,26.78269100669471,16.464767374371334,10.317923632323375,4.11,2.5651259918119393,37.85187671997315,16.06582941764893,2.444623582224203,71.01407667694836,145.8051934770578,211.34657486143792,Poorly graded sand (SP)
SYN_5096,4.847035750997385,2.6178850621078205,0.16946665561369723,0.3,2.271104535356721,13.40148318341604,0.23384125115961227,35.67016646555264,24.364045217190718,11.306121248361922,4.11,2.4673985435768637,75.0015154227645,15.06049214606475,1.9240307621600135,50.1748749256274,164.4155444774301,203.11,Poorly graded sand (SP)
SYN_6824,5.8,2.7411135878419315,0.13,0.5286075531375288,1.198878708792505,9.2221439137885,1.7928672285114422,25.59494696398039,16.114032339136706,9.480914624843685,7.489776677052214,1.9779129844660905,32.0,13.670993614934218,3.0988574991721967,59.31102201634565,354.54076209166453,220.12060973012643,Well-graded sand (SW)
SYN_9757,4.693529968287846,2.7953028183089406,0.13,0.7316225881721865,3.9148742227774727,30.0,1.0517512697705549,15.82,12.370000000000001,3.4499999999999993,6.788090352002484,1.898748633014949,32.419655384198634,30.234416954546838,1.9291133131640303,31.678526705164757,123.45989459336583,203.88156647597222,Well-graded sand (SW)
SYN_8977,3.2628888655213055,2.446845406151259,0.13,0.5363810229800893,0.85,6.538461538461538,2.60366155487029,23.253415132344813,12.36,10.893415132344813,6.505812852286574,1.885,32.0,20.71768505878441,1.7248836701446886,60.51354934743141,58.77,211.55091610435446,Well-graded sand (SW)
SYN_2310,4.770076662370765,2.35,0.13,0.45381315597442756,3.112802897047471,23.944637669595927,0.5089313328185856,46.66,32.116347600640914,14.543652399359082,4.5091393151049095,1.967276779534794,39.15082340037138,31.57561395219269,3.2076551105757325,82.0,400.8424041460902,204.71459690007893,Poorly graded sand (SP)
SYN_9732,4.657703858832366,2.85,0.13,0.4214026871734785,4.577887043656297,30.0,0.29839131369419125,21.877138651213592,16.441459623360956,5.435679027852636,4.11,1.885,66.31048933633572,33.0,1.9136026596957174,52.12138442004354,256.8632008394646,219.9631430427806,Poorly graded sand (SP)
SYN_4789,1.9,2.716535035044731,0.2790118503890328,0.41674582254074244,0.85,3.0464655849377897,0.7323200677592892,46.66,32.73,13.93,5.608479958398223,2.103254624498633,58.897575069500725,21.756618558153836,2.891600679535015,65.40481684442773,613.3969335045474,215.9734532394771,Poorly graded sand (SP)
SYN_4422,4.803150399977742,2.7353494109763328,0.1474516418142145,0.7637562796259887,2.382849074589548,16.160207138228277,1.6602115836741407,20.923849870947844,12.36,8.563849870947845,5.011835990364063,2.4113875736334376,35.14841972151216,30.633781902175855,1.790612645661681,46.12049162782154,147.580371472406,210.09598345648797,Well-graded sand (SW)
SYN_3463,4.183753983653174,2.7643235039380945,0.19645224687824966,0.60247159253702,1.4908153305157459,7.588690657428171,1.2393452247083543,26.15670014913645,12.882029791646135,13.274670357490317,4.11,2.4471604446049615,36.37588490131138,18.113797165554068,1.0406313113808525,66.30829760429727,58.77,215.23095209825314,Well-graded sand (SW)
SYN_9821,5.416927539483173,2.424585790400227,0.1390244706812272,0.45352152030268494,0.85,6.1140315502368425,1.7405464737488487,19.223674451348202,12.36,6.863674451348203,5.198263549828484,2.3725243230547743,32.0,16.41442291613268,0.7,82.0,158.6421642259629,217.88399592573492,Well-graded sand (SW)
SYN_3482,3.175658411380384,2.35,0.29866581900832045,0.47862485301477103,3.273643397844795,10.960890699560085,0.23430070761459698,37.479654977335635,24.430830698713137,13.048824278622497,5.907664837370087,2.313418820737884,42.5512152892082,28.24718840010141,2.1726858993383793,72.10558700871425,113.8323279903172,208.8002849620139,Poorly graded sand (SP)
SYN_5421,4.59438868227407,2.708264677145629,0.2632311885430445,0.576148169719256,3.895253522492891,14.797841942866604,0.3237392076676331,30.006561010851588,16.328703404513423,13.677857606338165,6.090045045359132,2.595355359686146,39.780883760282585,30.265637295767718,1.351222791133906,66.6072830002493,196.65136537066928,225.15575829103437,Poorly graded sand (SP)
SYN_6662,4.515522027465389,2.35,0.4,0.6416339714712656,3.7348187256381973,9.337046814095492,0.2755784039261768,39.42779174514798,32.73,6.697791745147981,4.11,2.2848154875216045,42.21736757158745,33.0,1.6743747591598128,61.491543367563324,338.00809907666695,209.61830188733478,Poorly graded sand (SP)
SYN_2448,3.7798539031686045,2.6084813094707604,0.1380116039645725,0.5768114788275689,1.2128792357477796,8.788240995004486,1.9876257963889215,29.15347525990903,15.53102265980397,13.62245260010506,6.335798420310402,1.885,60.771465623480196,19.51264968653447,2.656053829456659,62.26404037347543,401.82143141590865,218.66959166644693,Well-graded sand (SW)
